format is (<name> <TYPE>, <frequency>)
('thomas rookesby PERSON', 1)
('thomas rookby PERSON', 1)
('thomas richard PERSON', 1)
('thomas reynell PERSON', 1)
('thomas reynel PERSON', 1)
('thomas raymond PERSON', 1)
('thomas putt PERSON', 1)
('thomas powis PERSON', 1)
('thomas powell PERSON', 1)
('thomas pope PERSON', 1)
('thomas pilkinton PERSON', 1)
('thomas pierce PERSON', 1)
('thomas pelham PERSON', 1)
('thomas paying PERSON', 1)
('thomas papillion PERSON', 1)
("thomas palmer's PERSON", 1)
('thomas owen PERSON', 1)
('thomas oward earl PERSON', 1)
('thomas mydelton PERSON', 1)
('thomas msey PERSON', 1)
('thomas moubray earl PERSON', 1)
('thomas mostin PERSON', 1)
('thomas moors knight PERSON', 1)
('thomas moors PERSON', 1)
('thomas mauliverer bar PERSON', 1)
('thomas mauliverer PERSON', 1)
('thomas mason PERSON', 1)
('thomas marries PERSON', 1)
('thomas lord mowbray earl PERSON', 1)
('thomas littleton PERSON', 1)
('thomas lews esq PERSON', 1)
('thomas lewis PERSON', 1)
('thomas knight PERSON', 1)
('thomas keys PERSON', 1)
('thomas jennor PERSON', 1)
('thomas hussy PERSON', 1)
('thomas howard esq PERSON', 1)
('thomas howard PERSON', 1)
('thomas horde esq PERSON', 1)
('thomas hobs PERSON', 1)
('thomas hoard PERSON', 1)
('thomas harrison hugh PERSON', 1)
('thomas hardress PERSON', 1)
('thomas harding PERSON', 1)
('thomas grosvenor PERSON', 1)
("thomas grantham's PERSON", 1)
('thomas gourney PERSON', 1)
('thomas glemham PERSON', 1)
('thomas garret PERSON', 1)
('thomas garendine marian PERSON', 1)
('thomas garendine PERSON', 1)
('thomas garadine PERSON', 1)
('thomas freak PERSON', 1)
('thomas folly PERSON', 1)
('thomas fitz PERSON', 1)
('thomas exton knight PERSON', 1)
('thomas dale PERSON', 1)
('thomas crey marquess PERSON', 1)
('thomas cranmer PERSON', 1)
('thomas craddock PERSON', 1)
('thomas cornwallis PERSON', 1)
('thomas cole PERSON', 1)
('thomas clargis PERSON', 1)
('thomas chicheley knight chester PERSON', 1)
('thomas chapman PERSON', 1)
('thomas burgh PERSON', 1)
('thomas burdet PERSON', 1)
('thomas bulkley PERSON', 1)
('thomas bukeley knight PERSON', 1)
('thomas browghton PERSON', 1)
('thomas bradshaw PERSON', 1)
('thomas berry PERSON', 1)
('thomas becket PERSON', 1)
('thomas beaufort PERSON', 1)
('thomas baly PERSON', 1)
('thomas ballot PERSON', 1)
('thomas axon PERSON', 1)
('thomas austin PERSON', 1)
('thomas audley PERSON', 1)
('thomas armstrong knight edwin PERSON', 1)
('thomas armstrong knight PERSON', 1)
('thomas arch PERSON', 1)
('thomas allen PERSON', 1)
('tho earl PERSON', 1)
('this st dennis ORG', 1)
('this spring DATE', 1)
('this seven years DATE', 1)
('this minute TIME', 1)
('this many years ago DATE', 1)
('this last three years DATE', 1)
('this last thousand years DATE', 1)
('this hundred years past DATE', 1)
('this feast two months DATE', 1)
('thirty two years DATE', 1)
('thirty thousand pounds QUANTITY', 1)
('thirty thousand five hundred seventy eight CARDINAL', 1)
('thirty thousand cloths a year DATE', 1)
('thirty seven years DATE', 1)
('thirty nine years DATE', 1)
('thirty nine CARDINAL', 1)
('thirty four years DATE', 1)
('thirty five years DATE', 1)
('thirtieth CARDINAL', 1)
('thirteen years of the nineteen DATE', 1)
('thirteen years DATE', 1)
('thirteen thousand two hundred CARDINAL', 1)
('thirteen millions five hundred and twelve thousand six hundred and sixty pounds CARDINAL', 1)
('thirds CARDINAL', 1)
('thesetwenty years DATE', 1)
('these united provinces ORG', 1)
('these two years last past DATE', 1)
('these twelve years DATE', 1)
('these six years DATE', 1)
('these or years last past DATE', 1)
('these last years DATE', 1)
('these last seven years DATE', 1)
('these last or months DATE', 1)
('these last fourteen years DATE', 1)
('these last ages DATE', 1)
('these hundred years DATE', 1)
('these first years DATE', 1)
('these fifteen years DATE', 1)
('these few months DATE', 1)
('themad PERSON', 1)
('their riper years DATE', 1)
('their eggs days DATE', 1)
('their clymacterical year DATE', 1)
('thee few years DATE', 1)
('the years of five or six DATE', 1)
('the years end in the kingdom th the DATE', 1)
('the year the summer DATE', 1)
('the year the day the hour DATE', 1)
('the year six DATE', 1)
('the year past DATE', 1)
('the year kirby DATE', 1)
('the worst season of the year DATE', 1)
('the winter season DATE', 1)
('the warmer season DATE', 1)
('the vet parley pacif passage ORG', 1)
('the very day DATE', 1)
('the united wisdom GPE', 1)
('the united interest GPE', 1)
('the united banner ORG', 1)
('the two first years DATE', 1)
('the two and twentieth year DATE', 1)
('the twenty second year DATE', 1)
('the three years end so DATE', 1)
('the three first years DATE', 1)
('the thirty years DATE', 1)
('the thirty sixth year DATE', 1)
('the thirty days DATE', 1)
('the third hour TIME', 1)
('the third fourth and fifth DATE', 1)
('the third day DATE', 1)
('the th of april after twelve years DATE', 1)
('the th day of september in the year DATE', 1)
('the th day of october in the year DATE', 1)
('the th day of november last past DATE', 1)
('the th day of june in the third year DATE', 1)
('the th day of july DATE', 1)
('the th day of january in the year DATE', 1)
('the th day of december in the first year DATE', 1)
('the th day of april to the day of november DATE', 1)
('the th day of april in the third year DATE', 1)
('the th day of DATE', 1)
('the th april DATE', 1)
('the term of years under DATE', 1)
('the term of years DATE', 1)
('the term of thirty years DATE', 1)
('the term of seven years DATE', 1)
('the tenth penny MONEY', 1)
('the supreme court ORG', 1)
('the statute de donis ORG', 1)
('the st year DATE', 1)
('the st of september DATE', 1)
('the st of jac ORG', 1)
('the st of ed ORG', 1)
('the st of april DATE', 1)
("the st arriv' ORG", 1)
('the sixty-third year DATE', 1)
('the sixth of july DATE', 1)
('the sixth day of february DATE', 1)
('the sixth day DATE', 1)
('the sixteenth of november DATE', 1)
('the several ages DATE', 1)
('the seventh day of the week DATE', 1)
('the seventeenth year DATE', 1)
('the seven years DATE', 1)
('the senate house ORG', 1)
('the second of september DATE', 1)
('the second of november DATE', 1)
('the second of june DATE', 1)
('the second day of september DATE', 1)
('the season DATE', 1)
('the scotch army ORG', 1)
('the sci fa ORG', 1)
('the same season of the year DATE', 1)
('the same morning TIME', 1)
('the same day in the afternoon DATE', 1)
('the same day and year DATE', 1)
('the same day DATE', 1)
('the same afternoon TIME', 1)
('the red sea ORG', 1)
('the queens days DATE', 1)
('the privy-council of scotland ORG', 1)
('the privy-council dominos ORG', 1)
('the privy council enforce ORG', 1)
('the privy council de privato concilio ORG', 1)
('the principal bank ORG', 1)
('the preceding years DATE', 1)
('the popish party hath ORG', 1)
('the popish party afterword ORG', 1)
('the past years DATE', 1)
('the past day DATE', 1)
('the partis as council ORG', 1)
('the other two thirds CARDINAL', 1)
('the other six years DATE', 1)
('the other quarters DATE', 1)
('the other months DATE', 1)
('the other four years DATE', 1)
('the open day DATE', 1)
('the one per cent ORG', 1)
('the office of register ORG', 1)
('the northumberian kingdom LOC', 1)
('the northern quarters DATE', 1)
('the nix year DATE', 1)
('the niversal catholic ORG', 1)
('the ninth year DATE', 1)
('the ninth of november DATE', 1)
('the ninth of april DATE', 1)
('the ninth day DATE', 1)
('the nineteen years DATE', 1)
('the next sunday DATE', 1)
('the next quarter DATE', 1)
('the next month october DATE', 1)
('the next month DATE', 1)
('the next days DATE', 1)
('the morning TIME', 1)
('the month of december DATE', 1)
('the month of august DATE', 1)
('the month of april DATE', 1)
('the money england ORG', 1)
('the monday DATE', 1)
('the midland sea LOC', 1)
("the middle of february ' DATE", 1)
('the middle of august DATE', 1)
('the lovesteyns party ORG', 1)
('the last spring DATE', 1)
('the last of july DATE', 1)
('the last day of july DATE', 1)
('the kirk party ORG', 1)
('the king of england coming ORG', 1)
('the king of england ORG', 1)
('the irish quarters DATE', 1)
('the indian war EVENT', 1)
('the hundred of west goscot CARDINAL', 1)
('the house of nassaw ORG', 1)
('the house of jacob ORG', 1)
('the house of commons of england ORG', 1)
('the house of bondage ORG', 1)
('the hours TIME', 1)
('the holland east india ORG', 1)
('the half minute TIME', 1)
("the great henry's DATE", 1)
('the great council ORG', 1)
('the governor and council ORG', 1)
('the friday DATE', 1)
('the fourth three winter nights DATE', 1)
('the fourth of october DATE', 1)
('the fourth of january DATE', 1)
('the fourteen months last DATE', 1)
('the four years DATE', 1)
('the four first days DATE', 1)
('the first three months DATE', 1)
('the first of november DATE', 1)
('the first night TIME', 1)
('the first day of the year DATE', 1)
('the first day of every month DATE', 1)
('the fifth day of november a day DATE', 1)
('the fall five or DATE', 1)
('the european nations ORG', 1)
('the european markets ORG', 1)
('the era DATE', 1)
('the english years DATE', 1)
('the end of two years DATE', 1)
('the end of that month DATE', 1)
('the end of february DATE', 1)
('the eleventh year DATE', 1)
('the eighth year DATE', 1)
('the eighth of september DATE', 1)
('the eighteenth of january DATE', 1)
('the eggs days DATE', 1)
('the eastern sea LOC', 1)
('the eastern nations ORG', 1)
("the earl was murder' FAC", 1)
('the earl sent FAC', 1)
('the earl perceiving FAC', 1)
('the earl of thumond FAC', 1)
('the earl of strafford upon FAC', 1)
('the earl of strafford berkely FAC', 1)
('the earl of strafford arch-bishop FAC', 1)
('the earl of strafford FAC', 1)
('the earl of stamford stanton-brunell FAC', 1)
('the earl of st paul FAC', 1)
('the earl of savoy FAC', 1)
('the earl of radnor FAC', 1)
('the earl of northumberland FAC', 1)
('the earl of northampton FAC', 1)
('the earl of newport FAC', 1)
('the earl of morton FAC', 1)
('the earl of marlborough FAC', 1)
('the earl of kent bedford-house FAC', 1)
('the earl of huntington FAC', 1)
('the earl of derby FAC', 1)
('the earl of conway campden-house FAC', 1)
('the earl of conway FAC', 1)
('the earl of clarendon GPE', 1)
('the earl of chesterfield hoathfield FAC', 1)
('the earl of chesterfield FAC', 1)
('the earl of cardigan winwick FAC', 1)
('the earl of cardigan ashby-folville FAC', 1)
('the earl of cardigan anglesey-house FAC', 1)
('the earl of burlington powis-house FAC', 1)
('the earl of burlington hall FAC', 1)
('the earl of burford FAC', 1)
('the earl of bridgwater cherley FAC', 1)
("the earl of berkley's FAC", 1)
('the earl of banbury FAC', 1)
('the earl of anglesey caversham FAC', 1)
("the earl of allesbury's PERSON", 1)
('the earl of ailesbury burlington-house FAC', 1)
('the earl of ailesbury FAC', 1)
('the earl of abingdon broughton shutford FAC', 1)
('the earl and FAC', 1)
('the distringas the council ORG', 1)
('the day of august DATE', 1)
('the day and year DATE', 1)
('the court of india ORG', 1)
('the council of york ORG', 1)
('the council of nice canon ORG', 1)
('the council of africa canon ch council ORG', 1)
('the council board ORG', 1)
('the christmas season DATE', 1)
('the catholic league unto ORG', 1)
("the campaureng-zebe's ORG", 1)
("the bye england's ORG", 1)
('the british army ORG', 1)
('the beginning of the third DATE', 1)
('the beginning of the month DATE', 1)
('the beginning of september in the year DATE', 1)
('the beginning of henry DATE', 1)
('the beginning of december to the end of february DATE', 1)
("the bay fir' LOC", 1)
('the barr john shall FAC', 1)
('the baltic sea LOC', 1)
('the atlantic ocean LOC', 1)
('the asian army ORG', 1)
('the art year DATE', 1)
('the arabian gulf LOC', 1)
('the and years DATE', 1)
('the am council ORG', 1)
('the age of twenty one or DATE', 1)
('the age of twelve years DATE', 1)
('the age of seventeen DATE', 1)
('the age of fourteen years DATE', 1)
('the age of fourteen DATE', 1)
('the age of eighteen years DATE', 1)
('that season DATE', 1)
('that month DATE', 1)
('tewxbury ORG', 1)
('tertullus CARDINAL', 1)
('tertian NORP', 1)
('terris GPE', 1)
('termino coram dicto ORG', 1)
('tenths CARDINAL', 1)
('tenorem GPE', 1)
('tenerif ORG', 1)
('teneri ORG', 1)
('teneri NORP', 1)
('tenderden steeple FAC', 1)
('ten years old DATE', 1)
('ten weeks DATE', 1)
('ten thousands CARDINAL', 1)
('ten thousand pound QUANTITY', 1)
('ten thousand foot QUANTITY', 1)
('ten or fifteen days DATE', 1)
('ten or days DATE', 1)
('ten or QUANTITY', 1)
('ten acres QUANTITY', 1)
('taylor sanderson PERSON', 1)
('taverner harris PERSON', 1)
('taunton dean PERSON', 1)
('taunton GPE', 1)
('tarry anglia PERSON', 1)
('tamworth GPE', 1)
('talagno ORG', 1)
("t'other day DATE", 1)
('syward earl PERSON', 1)
('syriacum samaritanum PERSON', 1)
('syracusian NORP', 1)
('synosura GPE', 1)
('symbolis NORP', 1)
('switzerland germany GPE', 1)
('sweden GPE', 1)
('suum queritur PERSON', 1)
('sutton GPE', 1)
('sustan GPE', 1)
('susan PERSON', 1)
('surry arthur PERSON', 1)
('suratt two miles QUANTITY', 1)
("suratt river's ORG", 1)
('suratt one CARDINAL', 1)
('suratt four CARDINAL', 1)
('suratt bartholomew harris ORG', 1)
('surat cambay PERSON', 1)
('supreme power ORG', 1)
('super placitum ORG', 1)
("super judic' ORG", 1)
('sup CARDINAL', 1)
('summonitionem CARDINAL', 1)
('suffolk sommerset ORG', 1)
('suffolk kertling PERSON', 1)
('suffolk hampshire PERSON', 1)
('suffolk GPE', 1)
('sudbury hall soham lodge ORG', 1)
('submitter cogor PERSON', 1)
('suasa PERSON', 1)
('suarez vasquez PERSON', 1)
('suam de debito PERSON', 1)
('stud ORG', 1)
('stratford kingston PERSON', 1)
('strafford earl PERSON', 1)
('stourton PERSON', 1)
('stewart earl PERSON', 1)
('stevens cooper PERSON', 1)
('stephen leonard knight PERSON', 1)
('statham PERSON', 1)
('stanton GPE', 1)
('stanley arch-bishop PERSON', 1)
('stanford ORG', 1)
('stafford stafford shire ORG', 1)
('stafford richard scroop ORG', 1)
("st thomas's GPE", 1)
('st thomas of becket GPE', 1)
('st thomas FAC', 1)
('st stephen GPE', 1)
('st rue ORG', 1)
('st peters keys FAC', 1)
('st peters argument ORG', 1)
('st peters advice ORG', 1)
('st peter paul FAC', 1)
('st paul declares ORG', 1)
("st omer's GPE", 1)
('st nicholas-church FAC', 1)
('st nicholas day LOC', 1)
('st michael LOC', 1)
("st mary's GPE", 1)
('st martins ORG', 1)
('st leonards ORG', 1)
('st leonard foster lane ORG', 1)
('st john earl PERSON', 1)
('st john PERSON', 1)
('st john FAC', 1)
('st james town ORG', 1)
('st ignatius his eve as ORG', 1)
('st helenaa mighty ORG', 1)
("st helen's GPE", 1)
("st gilse's GPE", 1)
('st giles FAC', 1)
("st francis order st thomas's ORG", 1)
("st edward's GPE", 1)
('st davits fort ORG', 1)
("st david's ORG", 1)
('st david FAC', 1)
('st cyprian GPE', 1)
('st columb PERSON', 1)
('st brownrig FAC', 1)
("st bartholomew's-lane GPE", 1)
("st augustin's GPE", 1)
('st audrey GPE', 1)
('st asaph monmouth shire ORG', 1)
('st ann GPE', 1)
('st ambrose apocalips lib rome FAC', 1)
('st albans euston ORG', 1)
('st alban magdalen hart ORG', 1)
('st alban PERSON', 1)
('st alban LOC', 1)
('st GPE', 1)
('sr william montague PERSON', 1)
('sr walter manney ORG', 1)
('sr walter ORG', 1)
('sr roger PERSON', 1)
('sr george rook ORG', 1)
('sr francis devon shire PERSON', 1)
('spring DATE', 1)
('spectantibus ORG', 1)
('sparta GPE', 1)
('spans NORP', 1)
('spanish french NORP', 1)
('spain france england ORG', 1)
('souy GPE', 1)
('southwell ORG', 1)
('south west LOC', 1)
('south west GPE', 1)
('sommerset-house ORG', 1)
('some weeks DATE', 1)
('some to millions CARDINAL', 1)
('some thousand pounds QUANTITY', 1)
('some one hundred and fifty thousand CARDINAL', 1)
('some nine some fourteen CARDINAL', 1)
('some hundreds of dollars MONEY', 1)
('some hundreds CARDINAL', 1)
('some hundred years DATE', 1)
('some hundred thousands CARDINAL', 1)
('some few years DATE', 1)
('some few miles QUANTITY', 1)
('solon ORG', 1)
('solitu GPE', 1)
('so much as millions MONEY', 1)
('so many months DATE', 1)
('so many hundreds o thousands CARDINAL', 1)
('sleiden lib PERSON', 1)
('sixty years of age DATE', 1)
('sixty or seventy thousand CARDINAL', 1)
('sixty or seventy CARDINAL', 1)
('sixty miles QUANTITY', 1)
('sixty acres QUANTITY', 1)
('sixth DATE', 1)
('sixteen years and odd months DATE', 1)
('sixteen or eighteen thousand CARDINAL', 1)
('sixteen millions CARDINAL', 1)
('sixteen foot QUANTITY', 1)
('sixteen DATE', 1)
('six years chelwolf DATE', 1)
('six to three CARDINAL', 1)
('six to six CARDINAL', 1)
('six to CARDINAL', 1)
('six thousand pounds QUANTITY', 1)
('six shillings eight pence MONEY', 1)
('six pounds QUANTITY', 1)
('six or seven foot QUANTITY', 1)
('six nights TIME', 1)
('six in the evening TIME', 1)
('six hundreds CARDINAL', 1)
('six hours TIME', 1)
('six acres QUANTITY', 1)
('singulis etruriae PERSON', 1)
('simpson PERSON', 1)
('simon taylor PERSON', 1)
('simon de beresford PERSON', 1)
('silezia saxony bohemia ORG', 1)
('signifies arabia GPE', 1)
('sid vicinis PERSON', 1)
('sicut nobis constat de recordo ac post recuperationem judicij FAC', 1)
('sicilia england ORG', 1)
('shunn GPE', 1)
('shou PERSON', 1)
('sheredon GPE', 1)
('shelter in the night TIME', 1)
('shannon FAC', 1)
('shaftsburys ORG', 1)
('several thousand CARDINAL', 1)
('several quarters DATE', 1)
('several months DATE', 1)
('several hundred thousand CARDINAL', 1)
('several hundred miles QUANTITY', 1)
('several hundred CARDINAL', 1)
('seventy thousand pound QUANTITY', 1)
('seventy thousand CARDINAL', 1)
('seventy five thousand CARDINAL', 1)
('seventeenth PRODUCT', 1)
('seventeen pounds QUANTITY', 1)
('seven years next DATE', 1)
('seven years end DATE', 1)
('seven years ago DATE', 1)
('seven thousand five hundred pounds CARDINAL', 1)
('seven or ten years DATE', 1)
('seven or eight years old DATE', 1)
('seven or eight hours TIME', 1)
('seven nights TIME', 1)
('seven months DATE', 1)
('seven minutes TIME', 1)
('seven hundreds viz edmonton hundred elthorn hundred QUANTITY', 1)
('seven hundred per cent MONEY', 1)
('seven hundred CARDINAL', 1)
('seven foot QUANTITY', 1)
('seven days ago DATE', 1)
('seu unquam habebatur ORG', 1)
('september thirteen thousand DATE', 1)
('september the year DATE', 1)
('sed adjornatur de term PERSON', 1)
('secretioribus ORG', 1)
('sea france ORG', 1)
('se tu PERSON', 1)
('se nihil PERSON', 1)
('scrivans NORP', 1)
('scotland whilst capt robinson ORG', 1)
('scotland shall ORG', 1)
('scotland p ORG', 1)
('scotland jac p ORG', 1)
('scotland hath ORG', 1)
('scotland expired northumberland ORG', 1)
('scotland e welsh ORG', 1)
('scotland canute ORG', 1)
('scotland breda ORG', 1)
('scotland anno doom ORG', 1)
('scotland anno ORG', 1)
('scis hannibal victoria PERSON', 1)
('sci face carolus ORG', 1)
('scelera simul GPE', 1)
('saturday-morning TIME', 1)
('saturday april DATE', 1)
('sardanapalis galba PERSON', 1)
('samul barnardiston PERSON', 1)
('samuel walton armigeri PERSON', 1)
('samuel reynolds PERSON', 1)
('samuel moreland PERSON', 1)
('samuel ellis PERSON', 1)
('sam taylor sam PERSON', 1)
('sam puffendorf PERSON', 1)
('saluberrima magno futura imperio PERSON', 1)
('saith GPE', 1)
('s the quarter DATE', 1)
('rutland northamptonshire ORG', 1)
('ruff lib mute PERSON', 1)
('rubb PERSON', 1)
('royal council ORG', 1)
('rotterdam two PERSON', 1)
('rotterdam delph horn PERSON', 1)
('rotheram PERSON', 1)
('ross bishopric of cloyne bishopric of limerick bishopric ORG', 1)
('roscommon earl PERSON', 1)
('rosa solis PERSON', 1)
('rolston ely place ORG', 1)
('roland PERSON', 1)
('roger strickland PERSON', 1)
('roger north PERSON', 1)
('roger niger bishop PERSON', 1)
('roger mortimer earl PERSON', 1)
('roger manwood esq PERSON', 1)
('roger james esq PERSON', 1)
('roger hill knight PERSON', 1)
('roger estrange PERSON', 1)
('roger bacon PERSON', 1)
('roger acton PERSON', 1)
('roe versus clargis LAW', 1)
('roe versus LAW', 1)
('roe quae ORG', 1)
('rochel-haven ORG', 1)
('rochel expressly contrary ORG', 1)
('roberto wright PERSON', 1)
('robert william PERSON', 1)
('robert waldgrave PERSON', 1)
('robert viner PERSON', 1)
('robert trisillian PERSON', 1)
('robert thomas PERSON', 1)
('robert testwood PERSON', 1)
('robert silkeb PERSON', 1)
('robert sawyer PERSON', 1)
('robert russel esq PERSON', 1)
('robert russel PERSON', 1)
('robert reve PERSON', 1)
('robert owen knight PERSON', 1)
('robert mowbrey PERSON', 1)
('robert masham PERSON', 1)
('robert markham knight PERSON', 1)
('robert markham PERSON', 1)
('robert lowick PERSON', 1)
('robert le bruce PERSON', 1)
('robert landed PERSON', 1)
('robert knowls PERSON', 1)
('robert killwarby PERSON', 1)
('robert ket PERSON', 1)
('robert jefferies PERSON', 1)
('robert henley knight francis PERSON', 1)
('robert henley PERSON', 1)
('robert heath PERSON', 1)
('robert harrison PERSON', 1)
('robert freeman PERSON', 1)
('robert frances PERSON', 1)
("robert filmer's PERSON", 1)
('robert fagg PERSON', 1)
('robert eaglesfield PERSON', 1)
("robert dudley's PERSON", 1)
('robert dudley PERSON', 1)
('robert drury PERSON', 1)
('robert dillington bar PERSON', 1)
('robert dillington PERSON', 1)
('robert devereux earl PERSON', 1)
('robert clifton PERSON', 1)
('robert catesby PERSON', 1)
('robert can PERSON', 1)
('robert calvin PERSON', 1)
('robert burdett PERSON', 1)
('rob wright PERSON', 1)
('rls of northampton ORG', 1)
('riohard ingoldesby knight PERSON', 1)
('richmond easby hall ORG', 1)
('richard winwood PERSON', 1)
('richard wightwick PERSON', 1)
('richard wenman PERSON', 1)
('richard tufton PERSON', 1)
('richard sutton PERSON', 1)
('richard stewart PERSON', 1)
('richard scroop PERSON', 1)
('richard schriven PERSON', 1)
('richard rothwell PERSON', 1)
('richard rothwel PERSON', 1)
('richard roe PERSON', 1)
('richard ratcliff PERSON', 1)
('richard parker PERSON', 1)
('richard mountague PERSON', 1)
('richard lyon PERSON', 1)
('richard lloyd knight william tempest PERSON', 1)
('richard lloyd PERSON', 1)
('richard kirkby PERSON', 1)
('richard kirby PERSON', 1)
("richard king henry's PERSON", 1)
('richard king PERSON', 1)
('richard john PERSON', 1)
('richard ingoldsby PERSON', 1)
('richard huntington PERSON', 1)
('richard herbert PERSON', 1)
('richard guilford PERSON', 1)
('richard grobham PERSON', 1)
('richard grobam PERSON', 1)
('richard fowns PERSON', 1)
('richard empson PERSON', 1)
('richard earl PERSON', 1)
('richard dutton assault PERSON', 1)
('richard duke junior PERSON', 1)
('richard de la poole earl PERSON', 1)
('richard cussed PERSON', 1)
('richard crofts PERSON', 1)
('richard carew PERSON', 1)
('richard bulkeley PERSON', 1)
('richard bukeley PERSON', 1)
('richard bridget PERSON', 1)
('richard bridger PERSON', 1)
('richard booth PERSON', 1)
('richard bartlet PERSON', 1)
("rich letchford's PERSON", 1)
("rhoan saith right ' ORG", 1)
('revenuesvid bodin de rep PERSON', 1)
('respublica sustinetur diminuantur PERSON', 1)
('rescripsit zouchei PERSON', 1)
('republics GPE', 1)
('reperiuntur PERSON', 1)
('rempb PERSON', 1)
('rem judicatam PERSON', 1)
('reliquer ORG', 1)
('religionem nostra ORG', 1)
('religion justice council commerce confederation ORG', 1)
('regula juris PERSON', 1)
('regina LOC', 1)
('regibus ORG', 1)
('regiam majestatem PERSON', 1)
('regi nuns PERSON', 1)
('rege domino PERSON', 1)
('refue ometimes ORG', 1)
('recuperationem judicij PERSON', 1)
('recordo ORG', 1)
('rebus ORG', 1)
('raz al-gate PERSON', 1)
('raymond le PERSON', 1)
('raymond earl PERSON', 1)
('rayman PERSON', 1)
('ravenna cornea PERSON', 1)
('rara avis PERSON', 1)
('rapho bishopric of dromore bishopric ORG', 1)
('randulph earl PERSON', 1)
('randolph earl PERSON', 1)
("ram quer' PERSON", 1)
('ralph winwood PERSON', 1)
('ralph varney knight PERSON', 1)
('ralph vane PERSON', 1)
('ralph hengham PERSON', 1)
('ralph greenhurst PERSON', 1)
('ralph bishop PERSON', 1)
('ralph ashton PERSON', 1)
("r baker's PERSON", 1)
('quondam locum PERSON', 1)
('quondam donat PERSON', 1)
('quodam universal motu PERSON', 1)
("quodam record' GPE", 1)
('quidam PERSON', 1)
('quickwood GPE', 1)
('quibus commissa est PERSON', 1)
('quevedo GPE', 1)
('quem GPE', 1)
('queer ORG', 1)
('queens ORG', 1)
('queen marries days DATE', 1)
("queen elizabeth's days DATE", 1)
('quarters DATE', 1)
('quarter-masters TIME', 1)
('quantum terra ORG', 1)
('quantum ORG', 1)
('quam pried causas materias ORG', 1)
('quam pericula PERSON', 1)
('quam miracula PERSON', 1)
('quam materias PERSON', 1)
('quam liber PERSON', 1)
('quam innocentem damnari ORG', 1)
('quam eidem PERSON', 1)
('quam cito PERSON', 1)
('quam angusta PERSON', 1)
('quam adjudicationis executionis judicii ORG', 1)
('quam adjudicationis PERSON', 1)
('quam PERSON', 1)
('quae varies GPE', 1)
('quae quidem ORG', 1)
('quae inveniuntur irrotulat ORG', 1)
('quadam billam suam PERSON', 1)
('pym ORG', 1)
('ps zaanes ps PERSON', 1)
('ps tanjeebs sapan PERSON', 1)
('ps sulgees ORG', 1)
('ps salampores ps PERSON', 1)
('ps orisalls ps chiadees ORG', 1)
('ps morees ps ORG', 1)
('ps humhums ps PERSON', 1)
('ps golgas ps albances borax ORG', 1)
('ps ginghams ORG', 1)
('ps garras ps sail PERSON', 1)
('ps coccis ps baftas ORG', 1)
('ps chinis PERSON', 1)
('ps caches PERSON', 1)
('ps betillees ps berms ORG', 1)
('ps alegais ps PERSON', 1)
('ps adathaes ps PERSON', 1)
('prussia GPE', 1)
('prusia GPE', 1)
('pro licencia PERSON', 1)
('principis patrocinio PERSON', 1)
('primariam nempe cerebrum PERSON', 1)
('prescrib GPE', 1)
('premises LOC', 1)
('prat ORG', 1)
('praecogitat GPE', 1)
('praecharissimi vicesimo PERSON', 1)
('poulton de pace reg ORG', 1)
('portland GPE', 1)
('pool henry trenchard esq thomas FAC', 1)
('pool earl PERSON', 1)
('pomerland GPE', 1)
('polonia GPE', 1)
('polexfen ORG', 1)
('poisona ORG', 1)
('poena ORG', 1)
('plo ORG', 1)
('plentyarabian NORP', 1)
('plebeian NORP', 1)
('pleasant hills GPE', 1)
('plato ORG', 1)
('philosophiae ORG', 1)
('philip sherrard PERSON', 1)
('philip howard knight PERSON', 1)
('philip gell PERSON', 1)
('philem o neal PERSON', 1)
('philadelphia GPE', 1)
('phil PERSON', 1)
('phil GPE', 1)
('peyton ventris PERSON', 1)
('peterborough st albans sandwich bath arlington ORG', 1)
('peterborough francis st john esq ORG', 1)
('peter werburton PERSON', 1)
('peter van dam PERSON', 1)
('peter ps PERSON', 1)
('peter glean PERSON', 1)
('peter cook PERSON', 1)
('peter colliton PERSON', 1)
('peter clark PERSON', 1)
('perturbata consequi arbitrantur PERSON', 1)
('persians NORP', 1)
('persian magi NORP', 1)
('persia venice GPE', 1)
('persia golconda PERSON', 1)
('persia egypt GPE', 1)
('perpignan spain PERSON', 1)
('pepper ps silks of ORG', 1)
('peoplecan NORP', 1)
('pendragon ORG', 1)
('penda king PERSON', 1)
('pelagians NORP', 1)
('paul earl PERSON', 1)
('paul barrett PERSON', 1)
('patrimony PERSON', 1)
('patrick coleman PERSON', 1)
('patriam veritatem PERSON', 1)
('patriam durioribus PERSON', 1)
('patriam PERSON', 1)
('paternoster-row DATE', 1)
('past years DATE', 1)
('particular days DATE', 1)
('partibus ORG', 1)
('parthians NORP', 1)
('parochia PERSON', 1)
('parliament viz boston grantham ORG', 1)
('parliament pacific par ORG', 1)
('parl of ORG', 1)
('parl k james vet ORG', 1)
('parl de natis ORG', 1)
('parl ORG', 1)
('par lib PERSON', 1)
('palestine GPE', 1)
('owen stockton PERSON', 1)
('owen felltham PERSON', 1)
('ovington PERSON', 1)
('our sunday DATE', 1)
('our afternoon TIME', 1)
('otherwie ORG', 1)
('osman omar PERSON', 1)
('ormond earl PERSON', 1)
