format is (<name> <TYPE>, <frequency>)
('thomas culpeper PERSON', 4)
('thomas brown PERSON', 4)
('thomas bowman PERSON', 4)
('thomas armstrong PERSON', 4)
('thoe days DATE', 4)
('this twenty years DATE', 4)
('this one year DATE', 4)
('this last year DATE', 4)
('thirty pounds QUANTITY', 4)
('the university of oxford ORG', 4)
('the twelve months DATE', 4)
('the three years DATE', 4)
('the th year of the late DATE', 4)
('the th september DATE', 4)
('the th day of april DATE', 4)
('the summer DATE', 4)
('the six years DATE', 4)
('the preceding three years DATE', 4)
('the other half million CARDINAL', 4)
('the off-spring DATE', 4)
('the mediterranean ocean LOC', 4)
('the kingdom of england GPE', 4)
('the great day the seventh day DATE', 4)
('the four and twentieth day of june DATE', 4)
('the first years DATE', 4)
('the end of a year DATE', 4)
('the day of april DATE', 4)
('teutonica PERSON', 4)
('t aventures hours TIME', 4)
('syria GPE', 4)
('symon jones thomas street ORG', 4)
('switzerland GPE', 4)
('sumatra st lawrence pegu mozambig sofoia ORG', 4)
('st pals church ORG', 4)
('st michael GPE', 4)
("st john's GPE", 4)
("st james's GPE", 4)
('st helena fort ORG', 4)
('st george bombay FAC', 4)
('st george bencoolon ORG', 4)
('st christopher FAC', 4)
('some days DATE', 4)
('sodalis price PERSON', 4)
('six or CARDINAL', 4)
('six months or a year DATE', 4)
('six hundred thousand pounds CARDINAL', 4)
('sid ORG', 4)
('sicut nobis PERSON', 4)
('seventeen thousand and five hundred pounds CARDINAL', 4)
('seven years old DATE', 4)
('seven or eight years DATE', 4)
('seu ORG', 4)
('secunda price PERSON', 4)
('secunda ORG', 4)
('seconds TIME', 4)
('season of the year DATE', 4)
('saddam PERSON', 4)
('sabbati prox post ORG', 4)
('s persicis PERSON', 4)
('s mearne PERSON', 4)
('roger estrange esq PERSON', 4)
('roberto south price PERSON', 4)
('roberto sherringhamo PERSON', 4)
('roberto morrison medico PERSON', 4)
('roberto boyle PERSON', 4)
('robert cotton PERSON', 4)
('robert bolron PERSON', 4)
('robert boil esq PERSON', 4)
('robert atkins PERSON', 4)
('rob morton PERSON', 4)
('richard crashaw PERSON', 4)
('richard butler PERSON', 4)
('ricardo cumberland s ORG', 4)
('responsionem epistolarem nathaniel highmori PERSON', 4)
('responsio epistolaris PERSON', 4)
('renown ORG', 4)
('renati PERSON', 4)
('regulis lilianis de nominum PERSON', 4)
('regia PERSON', 4)
('refue ORG', 4)
